eventid,venueid,catid,dateid,eventname,starttime
67,301,8,2032,Rusalka,7/25/08 19:30
68,306,8,1911,Die Walkure,3/26/08 19:30
69,300,8,2172,Rigoletto,12/12/08 20:00
70,304,8,2100,The Fly,10/1/08 14:00
71,308,8,2026,Boris Godunov,7/19/08 15:00
72,305,8,2080,Lucia di Lammermoor,9/11/08 14:00
73,308,8,1867,L Elisir d Amore,2/10/08 14:30
74,307,8,2187,Il Trovatore,12/27/08 19:30
75,309,8,2127,The Fly,10/28/08 19:00
76,306,8,1869,Il Trovatore,2/12/08 19:30
77,305,8,2047,Die Walkure,8/9/08 15:00
78,300,8,2065,La Damnation de Faust,8/27/08 20:00
79,302,8,1872,La Boheme,2/15/08 20:00
80,306,8,2151,La Rondine,11/21/08 14:00
81,306,8,1833,The Birds (Die Vogel),1/7/08 14:00
82,308,8,1947,La Damnation de Faust,5/1/08 14:30
83,309,8,2169,Cavalleria Rusticana and Pagliacci,12/9/08 19:30
84,305,8,2143,Cavalleria Rusticana and Pagliacci,11/13/08 19:00
85,304,8,1914,La Sonnambula,3/29/08 15:00
86,308,8,1935,La Rondine,4/19/08 15:00
87,305,8,2182,Carmen,12/22/08 19:30
88,304,8,2047,Rigoletto,8/9/08 15:00
89,305,8,1856,Doctor Atomic,1/30/08 20:00
90,308,8,2129,La Gioconda,10/30/08 15:00
91,306,8,1891,Das Rheingold,3/6/08 20:00
92,302,8,1832,Die Walkure,1/6/08 15:00
93,305,8,2125,Il Trovatore,10/26/08 20:00
94,302,8,2051,La Traviata,8/13/08 14:00
95,309,8,1867,The Queen of Spades,2/10/08 14:00
96,308,8,1878,Rigoletto,2/21/08 19:00
97,304,8,2148,Doctor Atomic,11/18/08 19:00
98,308,8,2070,Rigoletto,9/1/08 14:30
99,309,8,1966,La Boheme,5/1/08 20:00
100,300,8,2129,Siegfried,10/30/08 15:00
101,309,8,1868,Die Walkure,2/11/08 15:00
102,300,8,1909,La Sonnambula,3/24/08 14:30
103,302,8,1872,The Magic Flute,2/15/08 15:00
104,304,8,2187,The Magic Flute,12/27/08 20:00
105,304,8,2095,Simon Boccanegra,9/26/08 20:00
106,307,8,2187,Lucia di Lammermoor,12/27/08 19:30
107,306,8,1966,Tristan und Isolde,5/1/08 14:30
108,309,8,1934,Salome,4/18/08 19:00
109,307,8,1977,Adriana Lecouvreur,5/1/08 14:30
110,307,8,2135,La Damnation de Faust,11/5/08 19:00
111,309,8,1909,Rigoletto,3/24/08 19:30
112,305,8,2185,La Cenerentola (Cinderella),12/25/08 14:30
113,302,8,1951,Boris Godunov,5/1/08 20:00
114,301,8,2000,La Cenerentola (Cinderella),6/23/08 19:30
115,309,8,1873,La Gioconda,2/16/08 20:00
116,304,8,1913,Boris Godunov,3/28/08 14:00
117,308,8,1830,Il Trovatore,1/4/08 19:00
118,308,8,1972,The Fly,5/1/08 19:00
119,300,8,2049,La Rondine,8/11/08 14:00
120,300,8,2152,Thais,11/22/08 15:00
121,300,8,2092,Il Trovatore,9/23/08 14:30
122,300,8,1991,Orfeo ed Euridice,6/14/08 20:00
123,307,8,2076,The Magic Flute,9/7/08 19:00
124,309,8,1925,The Queen of Spades,4/9/08 14:00
125,306,8,2187,Eugene Onegin,12/27/08 15:00
126,300,8,2056,The Birds (Die Vogel),8/18/08 20:00
127,308,8,2161,The Birds (Die Vogel),12/1/08 14:00
128,303,8,2067,Rusalka,8/29/08 14:30
129,306,8,2166,Salome,12/6/08 19:00
130,300,8,1911,La Rondine,3/26/08 19:30
131,300,8,1969,The Birds (Die Vogel),5/1/08 14:30
132,303,8,1919,Siegfried,4/3/08 19:30
133,300,8,2113,The Queen of Spades,10/14/08 20:00
134,302,8,1856,L Elisir d Amore,1/30/08 15:00
135,309,8,2013,La Cenerentola (Cinderella),7/6/08 14:00
136,307,8,1876,Doctor Atomic,2/19/08 19:30
137,306,8,1979,La Boheme,6/2/08 14:00
138,308,8,1980,Doctor Atomic,6/3/08 15:00
139,306,8,1961,La Rondine,5/1/08 19:00
140,309,8,2019,Lucia di Lammermoor,7/12/08 19:00
141,303,8,2122,Madama Butterfly,10/23/08 19:30
142,306,8,2188,La Rondine,12/28/08 19:30
143,302,8,1871,The Birds (Die Vogel),2/14/08 20:00
144,301,8,1919,Cavalleria Rusticana and Pagliacci,4/3/08 19:30
145,306,8,2054,Orfeo ed Euridice,8/16/08 20:00
146,306,8,1873,Die Walkure,2/16/08 14:00
147,300,8,2082,Madama Butterfly,9/13/08 14:30
148,302,8,2005,Tristan und Isolde,6/28/08 20:00
149,304,8,2032,Doctor Atomic,7/25/08 20:00
150,300,8,1985,The Magic Flute,6/8/08 19:00
151,302,8,1867,Rusalka,2/10/08 19:30
152,305,8,2058,The Birds (Die Vogel),8/20/08 19:00
153,303,8,1949,Il Trovatore,5/1/08 15:00
154,303,8,1924,Don Giovanni,4/8/08 19:00
155,302,8,1932,La Damnation de Faust,4/16/08 14:30
156,307,8,2050,La Damnation de Faust,8/12/08 19:30
157,302,8,2144,Die Walkure,11/14/08 19:30
158,307,8,2069,L Elisir d Amore,8/31/08 20:00
159,303,8,1888,Lucia di Lammermoor,3/3/08 14:30
160,306,8,2047,Siegfried,8/9/08 19:30
161,300,8,2028,Siegfried,7/21/08 14:30
162,303,8,2080,The Queen of Spades,9/11/08 19:00
163,307,8,2066,The Magic Flute,8/28/08 20:00
164,300,8,2167,La Damnation de Faust,12/7/08 15:00
165,301,8,1882,Die Walkure,2/25/08 15:00
166,302,8,2012,Die Walkure,7/5/08 14:30
167,308,8,2132,Boris Godunov,11/2/08 19:30
168,305,8,1848,Lucia di Lammermoor,1/22/08 19:30
169,307,8,1845,La Boheme,1/19/08 19:00
170,302,8,1869,Lucia di Lammermoor,2/12/08 15:00
171,304,8,1914,The Magic Flute,3/29/08 15:00
172,304,8,1959,Adriana Lecouvreur,5/1/08 19:00
173,301,8,1913,La Sonnambula,3/28/08 14:30
174,301,8,2035,Il Trovatore,7/28/08 19:30
175,309,8,2043,Orfeo ed Euridice,8/5/08 14:30
176,307,8,1950,La Damnation de Faust,5/1/08 20:00
177,301,8,2169,Tristan und Isolde,12/9/08 19:00
178,303,8,1834,Salome,1/8/08 14:30
179,300,8,2020,Siegfried,7/13/08 19:30
180,301,8,2107,Salome,10/8/08 15:00
181,308,8,1879,Tristan und Isolde,2/22/08 20:00
182,300,8,2121,Rusalka,10/22/08 19:30
183,303,8,2141,Thais,11/11/08 15:00
184,303,8,1882,The Birds (Die Vogel),2/25/08 14:30
185,302,8,2115,Doctor Atomic,10/16/08 20:00
186,307,8,2064,La Sonnambula,8/26/08 14:00
187,301,8,2187,Salome,12/27/08 19:00
188,307,8,2059,Gotterdammerung,8/21/08 15:00
189,307,8,2189,Don Giovanni,12/29/08 14:30
190,307,8,2168,Cavalleria Rusticana and Pagliacci,12/8/08 20:00
191,300,8,1919,The Fly,4/3/08 19:30
192,308,8,1965,Eugene Onegin,5/1/08 15:00
193,304,8,2049,Il Trovatore,8/11/08 14:00
194,303,8,2155,Doctor Atomic,11/25/08 14:30
195,305,8,1904,Orfeo ed Euridice,3/19/08 14:30
196,302,8,2028,Lucia di Lammermoor,7/21/08 19:00
197,303,8,2104,La Boheme,10/5/08 15:00
198,305,8,2135,Eugene Onegin,11/5/08 14:00
199,308,8,2142,Orfeo ed Euridice,11/12/08 19:30
200,306,8,1911,L Elisir d Amore,3/26/08 19:30
201,308,8,2070,Doctor Atomic,9/1/08 19:30
202,309,8,1834,Adriana Lecouvreur,1/8/08 19:30
203,306,8,1893,Orfeo ed Euridice,3/8/08 19:00
204,303,8,1832,Adriana Lecouvreur,1/6/08 14:30
205,306,8,2031,Lucia di Lammermoor,7/24/08 14:00
206,308,8,1846,Thais,1/20/08 15:00
207,304,8,1995,La Boheme,6/18/08 19:00
208,302,8,1851,Adriana Lecouvreur,1/25/08 19:30
209,301,8,1977,The Magic Flute,5/1/08 14:00
210,306,8,1937,Il Trovatore,4/21/08 14:30
211,306,8,2137,La Boheme,11/7/08 19:30
212,307,8,1959,La Rondine,5/1/08 19:00
213,300,8,1882,Die Walkure,2/25/08 14:30
214,302,8,1905,L Elisir d Amore,3/20/08 14:00
215,305,8,1989,L Elisir d Amore,6/12/08 19:00
216,300,8,2171,Salome,12/11/08 14:30
217,309,8,2118,Don Giovanni,10/19/08 20:00
218,303,8,1901,Orfeo ed Euridice,3/16/08 19:00
219,307,8,2035,La Gioconda,7/28/08 19:30
220,308,8,2047,Das Rheingold,8/9/08 19:30
221,302,8,2047,The Queen of Spades,8/9/08 14:00
222,307,8,1974,The Magic Flute,5/1/08 19:00
223,306,8,2166,Eugene Onegin,12/6/08 19:00
224,305,8,2158,Doctor Atomic,11/28/08 19:00
225,304,8,1993,The Magic Flute,6/16/08 19:30
226,303,8,1925,Orfeo ed Euridice,4/9/08 19:00
227,309,8,1975,Boris Godunov,5/1/08 20:00
228,308,8,1934,The Magic Flute,4/18/08 14:30
229,304,8,2018,La Damnation de Faust,7/11/08 19:00
230,305,8,1929,The Queen of Spades,4/13/08 20:00
231,306,8,2174,Carmen,12/14/08 15:00
232,306,8,2113,Rusalka,10/14/08 14:00
233,301,8,2172,Simon Boccanegra,12/12/08 19:30
234,301,8,1856,La Damnation de Faust,1/30/08 14:00
235,305,8,2049,Ring Cycle,8/11/08 15:00
236,303,8,1989,Eugene Onegin,6/12/08 15:00
237,305,8,1905,Simon Boccanegra,3/20/08 19:30
238,300,8,2002,The Birds (Die Vogel),6/25/08 19:30
239,300,8,2018,La Sonnambula,7/11/08 14:30
240,301,8,1935,Rusalka,4/19/08 14:00
241,304,8,1942,Don Giovanni,4/26/08 19:30
242,308,8,2002,Das Rheingold,6/25/08 19:00
243,300,8,2010,Doctor Atomic,7/3/08 20:00
244,301,8,2153,Simon Boccanegra,11/23/08 19:00
245,306,8,2189,La Sonnambula,12/29/08 19:30
246,303,8,2123,The Fly,10/24/08 14:30
247,304,8,1899,La Sonnambula,3/14/08 19:00
248,303,8,1923,Orfeo ed Euridice,4/7/08 14:30
249,300,8,1931,Thais,4/15/08 20:00
250,308,8,1907,Lucia di Lammermoor,3/22/08 15:00
251,305,8,1835,Ring Cycle,1/9/08 20:00
252,308,8,1984,Boris Godunov,6/7/08 14:30
253,308,8,2140,Il Trovatore,11/10/08 15:00
254,309,8,2080,Cavalleria Rusticana and Pagliacci,9/11/08 19:00
255,300,8,2154,Carmen,11/24/08 19:00
256,305,8,1972,Gotterdammerung,5/1/08 14:30
257,307,8,2047,The Magic Flute,8/9/08 20:00
258,305,8,2124,Doctor Atomic,10/25/08 14:00
259,302,8,2018,Cavalleria Rusticana and Pagliacci,7/11/08 20:00
260,305,8,2103,Adriana Lecouvreur,10/4/08 14:00
261,308,8,2172,Das Rheingold,12/12/08 20:00
262,309,8,2063,Das Rheingold,8/25/08 14:30
263,301,8,1909,Boris Godunov,3/24/08 19:30
264,308,8,2184,Ring Cycle,12/24/08 14:00
265,303,8,1900,Don Giovanni,3/15/08 15:00
266,308,8,2079,Salome,9/10/08 19:30
267,303,8,1883,Rusalka,2/26/08 14:00
268,306,8,1970,Thais,5/1/08 20:00
269,308,8,2089,Boris Godunov,9/20/08 19:30
270,307,8,2057,La Gioconda,8/19/08 20:00
271,306,8,1980,Das Rheingold,6/3/08 20:00
272,302,8,2171,Madama Butterfly,12/11/08 19:00
273,305,8,2153,Simon Boccanegra,11/23/08 14:30
274,305,8,1875,Siegfried,2/18/08 19:00
275,300,8,2124,La Rondine,10/25/08 15:00
276,304,8,2106,La Cenerentola (Cinderella),10/7/08 19:30
277,309,8,2017,Siegfried,7/10/08 20:00
278,308,8,2022,La Boheme,7/15/08 19:30
279,300,8,1902,Gotterdammerung,3/17/08 19:30
280,309,8,2128,The Magic Flute,10/29/08 19:00
281,302,8,1868,Boris Godunov,2/11/08 20:00
282,306,8,2187,Carmen,12/27/08 14:00
283,304,8,2111,Gotterdammerung,10/12/08 14:30
284,304,8,2008,Salome,7/1/08 19:00
285,308,8,2172,Gotterdammerung,12/12/08 15:00
286,308,8,2111,Rusalka,10/12/08 14:00
287,302,8,1864,Rusalka,2/7/08 19:30
288,300,8,1983,Siegfried,6/6/08 20:00
289,300,8,2100,Adriana Lecouvreur,10/1/08 19:30
290,307,8,1978,La Sonnambula,6/1/08 15:00
291,301,8,2145,La Traviata,11/15/08 19:30
292,304,8,2130,La Traviata,10/31/08 19:30
293,308,8,1910,Il Trovatore,3/25/08 19:00
294,301,8,1985,Adriana Lecouvreur,6/8/08 19:30
295,300,8,2105,Carmen,10/6/08 19:30
296,302,8,2086,Ring Cycle,9/17/08 14:30
297,307,8,1927,Lucia di Lammermoor,4/11/08 15:00
298,305,8,2076,Die Walkure,9/7/08 20:00
299,302,8,2082,Orfeo ed Euridice,9/13/08 15:00
300,303,8,2127,Gotterdammerung,10/28/08 14:30
301,307,8,2120,Madama Butterfly,10/21/08 19:30
302,304,8,1887,The Magic Flute,3/2/08 15:00
303,302,8,2158,The Magic Flute,11/28/08 14:00
304,305,8,2190,Das Rheingold,12/30/08 19:30
305,301,8,2162,La Damnation de Faust,12/2/08 19:30
306,306,8,1940,Das Rheingold,4/24/08 15:00
307,306,8,1887,La Cenerentola (Cinderella),3/2/08 19:30
308,302,8,1871,Eugene Onegin,2/14/08 15:00
309,301,8,2149,The Queen of Spades,11/19/08 14:30
310,309,8,2089,Thais,9/20/08 19:30
311,302,8,2155,Boris Godunov,11/25/08 14:30
312,307,8,2185,Lucia di Lammermoor,12/25/08 14:30
313,300,8,1854,La Gioconda,1/28/08 14:30
314,309,8,1913,La Damnation de Faust,3/28/08 20:00
315,307,8,2152,Madama Butterfly,11/22/08 14:00
316,302,8,2191,La Boheme,12/31/08 19:30
317,300,8,2003,Don Giovanni,6/26/08 14:00
318,307,8,1837,Simon Boccanegra,1/11/08 19:00
319,307,8,2115,Rusalka,10/16/08 19:30
320,304,8,1975,Die Walkure,5/1/08 19:00
321,303,8,2096,Tristan und Isolde,9/27/08 20:00
322,305,8,2072,Il Trovatore,9/3/08 19:30
323,307,8,1994,The Birds (Die Vogel),6/17/08 14:30
324,304,8,1972,Cavalleria Rusticana and Pagliacci,5/1/08 14:00
325,300,8,1993,Die Walkure,6/16/08 19:30
326,305,8,2153,Carmen,11/23/08 14:00
327,305,8,1887,La Boheme,3/2/08 14:30
328,305,8,2013,Eugene Onegin,7/6/08 19:30
329,300,8,2092,Siegfried,9/23/08 19:30
330,300,8,2143,Orfeo ed Euridice,11/13/08 19:30
331,306,8,1983,Lucia di Lammermoor,6/6/08 15:00
332,302,8,2110,Salome,10/11/08 15:00
333,306,8,1946,Boris Godunov,4/30/08 14:30
334,308,8,1982,La Sonnambula,6/5/08 20:00
335,308,8,2039,Il Trovatore,8/1/08 20:00
336,305,8,1967,Simon Boccanegra,5/1/08 19:30
337,306,8,1935,La Damnation de Faust,4/19/08 20:00
338,308,8,1871,Simon Boccanegra,2/14/08 14:30
339,309,8,1991,La Traviata,6/14/08 20:00
340,302,8,2116,La Rondine,10/17/08 20:00
341,307,8,1977,Boris Godunov,5/1/08 15:00
342,303,8,1952,L Elisir d Amore,5/1/08 20:00
343,303,8,1886,La Sonnambula,3/1/08 15:00
344,309,8,2004,Don Giovanni,6/27/08 19:30
345,308,8,1874,Thais,2/17/08 14:00
346,300,8,1920,Cavalleria Rusticana and Pagliacci,4/4/08 14:00
347,300,8,2170,La Damnation de Faust,12/10/08 14:00
348,301,8,2143,Simon Boccanegra,11/13/08 19:30
349,305,8,2187,Orfeo ed Euridice,12/27/08 15:00
350,305,8,2098,Carmen,9/29/08 14:00
351,303,8,1869,Tristan und Isolde,2/12/08 19:00
352,301,8,2095,L Elisir d Amore,9/26/08 19:00
353,309,8,2162,Simon Boccanegra,12/2/08 14:00
354,308,8,1954,Thais,5/1/08 14:00
355,309,8,2163,La Traviata,12/3/08 19:30
356,301,8,1881,La Boheme,2/24/08 19:30
357,306,8,2091,Adriana Lecouvreur,9/22/08 19:00
358,307,8,1919,Rusalka,4/3/08 19:30
359,308,8,2088,Die Walkure,9/19/08 19:30
360,303,8,2142,Das Rheingold,11/12/08 14:30
361,306,8,1954,Rusalka,5/1/08 14:30
362,300,8,2168,Tristan und Isolde,12/8/08 14:30
363,302,8,1872,Salome,2/15/08 15:00
364,309,8,1928,Salome,4/12/08 19:30
365,303,8,2182,La Traviata,12/22/08 15:00
366,308,8,2141,Eugene Onegin,11/11/08 20:00
367,303,8,2171,Orfeo ed Euridice,12/11/08 19:30
368,306,8,2147,Cavalleria Rusticana and Pagliacci,11/17/08 20:00
369,303,8,1976,La Damnation de Faust,5/1/08 15:00
370,307,8,2146,La Boheme,11/16/08 20:00
371,307,8,2043,Il Trovatore,8/5/08 14:30
372,304,8,1989,Das Rheingold,6/12/08 14:00
373,305,8,1913,Das Rheingold,3/28/08 20:00
374,308,8,2139,Boris Godunov,11/9/08 15:00
375,305,8,2176,Doctor Atomic,12/16/08 15:00
376,302,8,2164,Salome,12/4/08 19:30
377,301,8,1958,L Elisir d Amore,5/1/08 20:00
378,307,8,1945,Tristan und Isolde,4/29/08 20:00
379,300,8,2107,The Fly,10/8/08 19:00
380,308,8,2133,Doctor Atomic,11/3/08 19:00
381,305,8,1963,Boris Godunov,5/1/08 19:30
382,304,8,2113,Orfeo ed Euridice,10/14/08 14:00
383,302,8,1867,The Magic Flute,2/10/08 20:00
384,302,8,1918,Simon Boccanegra,4/2/08 19:00
385,305,8,1840,The Fly,1/14/08 15:00
386,303,8,2018,La Sonnambula,7/11/08 20:00
387,305,8,2025,Cavalleria Rusticana and Pagliacci,7/18/08 14:30
388,307,8,2067,Das Rheingold,8/29/08 14:30
389,305,8,1893,Madama Butterfly,3/8/08 19:30
390,303,8,2135,Tristan und Isolde,11/5/08 14:00
391,303,8,2079,La Rondine,9/10/08 14:00
392,308,8,2132,Die Walkure,11/2/08 20:00
393,304,8,2092,L Elisir d Amore,9/23/08 19:00
394,300,8,1829,Adriana Lecouvreur,1/3/08 15:00
395,305,8,1853,Simon Boccanegra,1/27/08 14:30
396,303,8,2106,Doctor Atomic,10/7/08 14:00
397,305,8,1877,L Elisir d Amore,2/20/08 19:30
398,303,8,1863,The Birds (Die Vogel),2/6/08 19:30
399,306,8,1867,Eugene Onegin,2/10/08 20:00
400,301,8,1863,Thais,2/6/08 19:00
401,302,8,2146,The Birds (Die Vogel),11/16/08 14:30
402,305,8,2015,La Boheme,7/8/08 15:00
403,306,8,2034,Doctor Atomic,7/27/08 14:30
404,304,8,1947,Orfeo ed Euridice,5/1/08 19:30
405,301,8,1844,La Damnation de Faust,1/18/08 14:00
406,307,8,2054,Thais,8/16/08 20:00
407,301,8,2140,Simon Boccanegra,11/10/08 14:00
408,307,8,2134,La Sonnambula,11/4/08 15:00
409,303,8,2049,Doctor Atomic,8/11/08 20:00
410,305,8,2045,Tristan und Isolde,8/7/08 14:00
411,309,8,2145,Eugene Onegin,11/15/08 19:30
412,306,8,2089,Gotterdammerung,9/20/08 20:00
413,300,8,1996,The Queen of Spades,6/19/08 20:00
414,306,8,2028,Adriana Lecouvreur,7/21/08 19:00
415,306,8,1853,La Boheme,1/27/08 20:00
416,306,8,1977,La Boheme,5/1/08 15:00
417,301,8,1967,Siegfried,5/1/08 19:00
418,305,8,2029,Lucia di Lammermoor,7/22/08 19:00
419,305,8,1979,Gotterdammerung,6/2/08 14:00
420,302,8,1954,L Elisir d Amore,5/1/08 15:00
421,306,8,2026,Madama Butterfly,7/19/08 14:30
422,303,8,1844,Don Giovanni,1/18/08 14:30
423,303,8,1827,La Damnation de Faust,1/1/08 19:30
424,303,8,2157,Thais,11/27/08 15:00
425,301,8,1851,Don Giovanni,1/25/08 20:00
426,309,8,1936,Thais,4/20/08 20:00
427,301,8,2099,Die Walkure,9/30/08 14:30
428,301,8,2084,Doctor Atomic,9/15/08 19:30
429,300,8,1910,Rigoletto,3/25/08 14:00
430,308,8,2096,Siegfried,9/27/08 20:00
431,303,8,1964,Thais,5/1/08 14:30
432,303,8,2168,Carmen,12/8/08 14:00
433,301,8,1880,Orfeo ed Euridice,2/23/08 14:30
434,307,8,2122,Don Giovanni,10/23/08 14:00
435,302,8,2075,Siegfried,9/6/08 20:00
436,304,8,1936,Ring Cycle,4/20/08 20:00
437,303,8,1984,Simon Boccanegra,6/7/08 14:00
438,303,8,2023,La Gioconda,7/16/08 15:00
439,305,8,2126,La Traviata,10/27/08 14:30
440,308,8,2103,Il Trovatore,10/4/08 20:00
441,309,8,1917,Boris Godunov,4/1/08 14:00
442,309,8,2050,Rusalka,8/12/08 14:00
443,305,8,1885,Tristan und Isolde,2/28/08 14:30
444,303,8,1889,Salome,3/4/08 19:30
445,302,8,2010,Rusalka,7/3/08 15:00
446,302,8,2137,Thais,11/7/08 14:30
447,304,8,2147,Thais,11/17/08 19:30
448,302,8,2018,La Damnation de Faust,7/11/08 19:30
449,306,8,2044,Salome,8/6/08 20:00
450,305,8,2027,Salome,7/20/08 15:00
451,306,8,2061,La Sonnambula,8/23/08 15:00
452,309,8,1867,The Birds (Die Vogel),2/10/08 14:30
453,302,8,2122,Tristan und Isolde,10/23/08 14:00
454,308,8,1998,La Damnation de Faust,6/21/08 15:00
455,300,8,2106,Boris Godunov,10/7/08 14:00
456,301,8,1972,The Birds (Die Vogel),5/1/08 15:00
457,306,8,2022,Madama Butterfly,7/15/08 19:00
458,308,8,2150,Tristan und Isolde,11/20/08 20:00
459,304,8,2038,La Rondine,7/31/08 14:00
460,305,8,1874,The Fly,2/17/08 19:30
461,302,8,1861,Carmen,2/4/08 15:00
462,304,8,1985,Rigoletto,6/8/08 19:00
463,303,8,1873,Tristan und Isolde,2/16/08 19:00
464,303,8,1861,Carmen,2/4/08 20:00
465,306,8,2089,Rigoletto,9/20/08 14:30
466,307,8,2003,Il Trovatore,6/26/08 14:00
467,306,8,2180,La Traviata,12/20/08 20:00
468,305,8,1912,Salome,3/27/08 15:00
469,303,8,2107,Ring Cycle,10/8/08 19:30
470,303,8,1867,La Gioconda,2/10/08 20:00
471,306,8,1916,Lucia di Lammermoor,3/31/08 14:00
472,302,8,1994,The Queen of Spades,6/17/08 19:00
473,306,8,2166,Das Rheingold,12/6/08 19:00
474,302,8,1962,La Rondine,5/1/08 19:30
475,308,8,2103,Gotterdammerung,10/4/08 19:00
476,309,8,2097,Carmen,9/28/08 15:00
477,307,8,2122,The Fly,10/23/08 20:00
478,309,8,2030,The Birds (Die Vogel),7/23/08 19:30
479,309,8,2190,The Queen of Spades,12/30/08 19:30
480,306,8,1976,La Rondine,5/1/08 14:30
481,303,8,2101,Doctor Atomic,10/2/08 14:30
482,302,8,1999,Orfeo ed Euridice,6/22/08 19:00
483,303,8,1948,Eugene Onegin,5/1/08 14:00
484,300,8,2158,Simon Boccanegra,11/28/08 14:00
485,300,8,1949,Gotterdammerung,5/1/08 14:30
486,302,8,2097,The Birds (Die Vogel),9/28/08 19:00
487,309,8,2122,La Cenerentola (Cinderella),10/23/08 20:00
488,307,8,1847,La Cenerentola (Cinderella),1/21/08 14:30
489,300,8,2038,Rusalka,7/31/08 19:30
490,308,8,1939,L Elisir d Amore,4/23/08 19:00
491,307,8,2087,Adriana Lecouvreur,9/18/08 20:00
492,300,8,2027,Tristan und Isolde,7/20/08 19:00
493,304,8,1986,Ring Cycle,6/9/08 14:00
494,309,8,2023,Cavalleria Rusticana and Pagliacci,7/16/08 19:30
495,304,8,1997,La Damnation de Faust,6/20/08 19:30
496,307,8,1938,Simon Boccanegra,4/22/08 14:00
497,304,8,1839,The Fly,1/13/08 19:30
498,304,8,1938,Carmen,4/22/08 14:00
499,309,8,2065,La Sonnambula,8/27/08 14:30
500,309,8,2132,Gotterdammerung,11/2/08 14:30
501,245,6,2108,The Little Mermaid,10/9/08 14:30
502,208,6,1933,Oliver!,4/17/08 14:00
503,221,6,2108,Oliver!,10/9/08 14:30
504,208,6,1883,Legally Blonde,2/26/08 19:30
505,239,6,2062,The King and I,8/24/08 19:30
506,237,6,1968,Jersey Boys,5/1/08 14:00
507,246,6,2057,Gypsy,8/19/08 20:00
